,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,133.0,0.0,138.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,283.0,383.0,0.0,172.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,84.0,143.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,1452.0,517.0,299,0.0,81.0,98.0,226.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,234.0,700.0,0.0,0.0,43.0,0.0,0.0,248.0,36.0,0.0,0.0,0.0,0.0,0.0,62.0,400.0,0.0,0.0,229.0,133.0,0.0,138.0,0.0,0.0,0.0,119.0,507.0,52.0,0.0,0.0,283.0,1410.0,0.0,172.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0
3,437.0,0.0,641.0,172.0,331.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,724.0,0.0,2200.0,517.0,299,0.0,389.0,270.0,226.0,0.0,126.0,0.0,112.0,0.0,121.0,0.0,0.0,0.0,0.0,491.0,311.0,301.0,0.0,0.0,192.0,276.0,0.0,648.0,290.0,0.0,763.0,1369.0,239.0,160.0,43.0,261.0,343.0,248.0,36.0,0.0,0.0,351.0,0.0,634.0,1031.0,989.0,0.0,0.0,566.0,222.0,0.0,138.0,0.0,56.0,0.0,430.0,996.0,447.0,65.0,0.0,283.0,2627.0,0.0,977.0,0.0,0.0,0.0,186.0,33.0,0.0,0.0,513.0,0.0,0.0,0.0,0.0,114.0,0.0,1184.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,617.0
4,437.0,517.0,641.0,433.0,913.0,46.0,0.0,0.0,354.0,780.0,505.0,233.0,495.0,810.0,0.0,2751.0,954.0,614,642.0,426.0,491.0,226.0,277.0,216.0,0.0,678.0,631.0,905.0,588.0,624.0,537.0,193.0,578.0,1169.0,768.0,560.0,764.0,591.0,794.0,363.0,715.0,783.0,455.0,843.0,1919.0,978.0,532.0,43.0,261.0,479.0,327.0,358.0,643.0,380.0,550.0,408.0,769.0,1031.0,1150.0,157.0,547.0,877.0,222.0,940.0,901.0,217.0,561.0,288.0,1026.0,1508.0,1418.0,268.0,576.0,525.0,3322.0,0.0,1615.0,707.0,0.0,337.0,322.0,491.0,0.0,382.0,1003.0,376.0,0.0,490.0,85.0,922.0,0.0,1555.0,122.0,1197.0,352.0,517.0,0.0,327.0,973.0,655.0
5,516.0,1269.0,1644.0,743.0,913.0,46.0,123.0,0.0,774.0,802.0,807.0,441.0,983.0,1247.0,509.0,3426.0,1154.0,614,642.0,426.0,634.0,226.0,277.0,,0.0,678.0,864.0,905.0,747.0,624.0,689.0,453.0,578.0,1169.0,1111.0,1315.0,1395.0,1869.0,972.0,658.0,1226.0,783.0,455.0,953.0,3803.0,1031.0,936.0,811.0,366.0,1122.0,327.0,675.0,1670.0,502.0,550.0,1238.0,1003.0,1204.0,1533.0,427.0,547.0,877.0,222.0,940.0,901.0,724.0,1697.0,795.0,1026.0,1508.0,1476.0,618.0,576.0,874.0,5012.0,163.0,1615.0,707.0,112.0,652.0,406.0,972.0,358.0,382.0,1003.0,465.0,425.0,949.0,205.0,1048.0,0.0,2220.0,731.0,1423.0,352.0,517.0,878.0,789.0,1272.0,1459.0
6,516.0,1269.0,1888.0,837.0,1522.0,247.0,383.0,0.0,1122.0,802.0,1177.0,441.0,1391.0,1415.0,509.0,3967.0,1154.0,614,1645.0,426.0,1525.0,226.0,468.0,,0.0,1739.0,1520.0,1340.0,1148.0,835.0,689.0,1830.0,578.0,1409.0,1111.0,1521.0,1395.0,1869.0,1255.0,764.0,1326.0,1316.0,518.0,1202.0,4126.0,2104.0,1331.0,923.0,665.0,1174.0,863.0,727.0,1670.0,740.0,884.0,2080.0,1624.0,1419.0,2245.0,596.0,547.0,877.0,1097.0,1260.0,901.0,1241.0,1697.0,1560.0,1026.0,2226.0,1978.0,618.0,576.0,874.0,5248.0,397.0,2291.0,949.0,112.0,941.0,406.0,1154.0,358.0,382.0,1432.0,465.0,575.0,949.0,205.0,1835.0,525.0,2597.0,731.0,2162.0,913.0,580.0,1464.0,1054.0,1272.0,1693.0
7,915.0,2105.0,2040.0,1806.0,1590.0,247.0,490.0,925.0,1122.0,802.0,1177.0,441.0,1955.0,1593.0,509.0,7062.0,1154.0,723,2187.0,902.0,1867.0,226.0,697.0,,0.0,1739.0,1520.0,1340.0,1148.0,835.0,769.0,2158.0,578.0,1409.0,1111.0,1521.0,1395.0,1932.0,1255.0,764.0,1512.0,1316.0,1775.0,1294.0,6248.0,2104.0,2109.0,1291.0,855.0,1174.0,863.0,1518.0,2564.0,982.0,1718.0,2080.0,1800.0,2437.0,2297.0,638.0,547.0,877.0,1097.0,1260.0,901.0,1632.0,1827.0,1560.0,1275.0,2226.0,3425.0,618.0,576.0,874.0,6669.0,397.0,2709.0,949.0,242.0,1401.0,595.0,2093.0,358.0,382.0,2451.0,803.0,575.0,1427.0,645.0,1835.0,1583.0,3791.0,731.0,2162.0,913.0,580.0,1464.0,1220.0,2705.0,1817.0
8,915.0,2105.0,3472.0,3005.0,1590.0,390.0,490.0,1093.0,1758.0,802.0,1920.0,755.0,2008.0,2233.0,509.0,8864.0,1824.0,723,2187.0,902.0,3219.0,1637.0,1466.0,,1185.0,1843.0,2095.0,1340.0,1148.0,1375.0,1499.0,2158.0,578.0,2126.0,1111.0,3715.0,1526.0,2036.0,2049.0,869.0,1989.0,2747.0,2313.0,1294.0,9097.0,2162.0,2874.0,1398.0,1687.0,1314.0,2644.0,1518.0,3488.0,982.0,2284.0,2486.0,2760.0,2608.0,2629.0,638.0,715.0,877.0,1863.0,1260.0,1889.0,1632.0,2178.0,1560.0,1851.0,2995.0,3631.0,618.0,1833.0,874.0,7299.0,1033.0,3196.0,949.0,242.0,1929.0,1038.0,3249.0,358.0,1254.0,2451.0,1248.0,1319.0,1427.0,1324.0,2233.0,1583.0,5239.0,731.0,2605.0,1255.0,580.0,1464.0,2060.0,2705.0,2343.0
9,915.0,2619.0,3472.0,3005.0,2020.0,390.0,1052.0,1093.0,2519.0,802.0,2731.0,1044.0,2008.0,2764.0,1193.0,9292.0,1961.0,1047,2187.0,1600.0,3936.0,1637.0,1466.0,,1185.0,2542.0,2516.0,1619.0,1878.0,1664.0,1853.0,2470.0,1229.0,2126.0,1310.0,3715.0,2010.0,2036.0,3106.0,869.0,1989.0,2969.0,3884.0,2259.0,11021.0,2361.0,3922.0,1823.0,2497.0,1983.0,3059.0,3408.0,3488.0,1153.0,2448.0,2486.0,3043.0,3258.0,2859.0,938.0,715.0,1439.0,1863.0,2517.0,1889.0,2082.0,2580.0,1903.0,1851.0,3578.0,5132.0,1167.0,1833.0,874.0,8688.0,1635.0,3617.0,1390.0,281.0,2210.0,1038.0,3838.0,1059.0,1254.0,3260.0,1248.0,1319.0,1427.0,2546.0,2233.0,2429.0,5646.0,731.0,4704.0,1255.0,1045.0,1464.0,3448.0,3186.0,2389.0
