SummonerName,WinLoss,Lane,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken
Fizz on ur Jayce,False,Invalid,Tryndamere,25,36,92,13,18,77,9,12,29,33456,25821,0,14512,49491,0,0,0,0,1715,257,425,0.475,0.13788841330990284,71,106,1,0
Arion,False,Invalid,Sion,92,45,51,18,18,83,23,19,20,31118,44513,0,4645,88184,0,0,0,0,1715,734,531,0.5375,0.23770035687023439,96,164,2,0
ElmoKillsYou,False,Invalid,Lissandra,82,37,42,8,18,67,5,16,35,28187,19801,0,2888,37464,0,0,0,0,1715,412,442,0.5,0.10574028436770286,61,54,0,0
KaleidoGhost,False,Invalid,Teemo,70,32,0,80,18,47,8,16,29,33061,49485,0,1459,37805,0,0,0,0,1715,620,460,0.4625,0.26424990866262155,50,71,1,0
SCIENC3,False,Invalid,Sivir,75,75,43,15,18,122,21,17,29,29762,47644,0,1682,44464,0,0,0,0,1715,60,549,0.625,0.25442103678953837,63,100,2,0
LTae,True,Invalid,Seraphine,174,71,114,18,18,74,7,16,52,34097,37424,6748,6005,40230,0,0,0,0,1715,228,449,0.8939393939393939,0.15842726685320543,41,30,0,0
Eitakei,True,Invalid,Azir,50,154,3,16,18,116,25,15,30,33944,94329,0,3601,35516,0,0,0,0,1715,211,460,0.8333333333333334,0.3993245023297033,48,28,1,0
Gothulicious,True,Invalid,Zilean,303,223,127,19,18,95,13,8,51,38952,29592,0,15087,26863,0,0,0,0,1715,405,242,0.9696969696969697,0.12527218015742833,24,20,0,0
Ausfreak,True,Invalid,Skarner,135,75,62,13,18,20,13,14,42,29591,26028,0,2734,43956,0,0,0,0,1715,287,427,0.8333333333333334,0.11018736802952542,60,57,1,0
BeyondRevenant,True,Invalid,Riven,280,56,118,29,18,81,22,13,17,35173,48848,0,13455,53063,0,0,0,0,1715,90,377,0.5909090909090909,0.2067886826301375,67,57,0,0
leBigMAK,False,TOP,Gangplank,130,7,94,7,15,234,5,3,4,14454,16004,0,1670,14645,11,4,24,0,1628,219,72,0.2647058823529412,0.2938827875487268,38,12,1,0
MrPopsicles,False,JUNGLE,Nocturne,71,14,25,15,12,22,3,5,6,9632,8569,0,8041,23191,1,5,14,0,1628,448,150,0.2647058823529412,0.15735149628030917,22,14,0,0
FPX MLXB,False,MIDDLE,Lissandra,97,18,21,14,13,123,2,8,1,10490,12699,0,1159,22081,7,0,11,0,1628,205,239,0.08823529411764706,0.23320089662284865,58,24,1,1
peedrinker123,False,BOTTOM,Varus,61,24,34,9,12,163,1,9,4,9951,8350,0,1988,14427,8,1,9,0,1628,219,244,0.14705882352941177,0.15334362420986417,14,5,0,0
AfroNardo,False,UTILITY,Malphite,47,15,21,6,11,19,2,9,3,8100,8834,0,0,11035,28,2,43,0,1628,195,127,0.14705882352941177,0.16222119533825122,38,18,0,0
Sanj leh,True,TOP,Kayle,58,31,48,4,15,165,3,3,4,14234,9129,0,2961,13828,10,4,23,0,1628,243,91,0.5384615384615384,0.1308177355421982,4,17,0,0
Matrox,True,JUNGLE,Nunu,89,57,174,13,14,28,4,3,14,12860,11569,0,15377,28783,6,1,17,0,1628,366,57,1.3846153846153846,0.16577718573735076,25,24,2,2
kai tomac,True,MIDDLE,Zed,71,39,77,9,15,170,7,5,3,13031,18654,0,1225,15041,8,0,11,0,1628,165,142,0.7692307692307693,0.26730215751383357,33,41,0,3
WhippedCrm,True,BOTTOM,Lucian,86,41,68,10,16,207,17,1,5,16126,22594,0,2369,16411,6,0,18,0,1628,81,8,1.6923076923076923,0.32374700898024117,16,26,3,5
Ausfreak,True,UTILITY,Blitzcrank,20,36,26,11,13,30,3,1,17,11088,7841,0,1938,13623,18,11,58,0,1628,114,33,1.5384615384615385,0.1123559122263763,22,50,0,3
SoggyCarrots,False,TOP,Sion,65,57,47,9,15,205,1,14,1,13461,11349,0,2279,53023,2,0,3,0,1829,974,379,0.044444444444444446,0.1517086673660213,61,32,0,3
BamboonOnAcid,False,JUNGLE,Ekko,112,35,85,10,15,66,9,7,6,14205,17063,0,9490,32561,3,2,16,0,1829,458,223,0.3333333333333333,0.2280816364167333,26,21,0,0
Pokiee,False,MIDDLE,Leblanc,87,117,56,24,14,149,6,8,9,12874,20419,0,2384,28899,9,4,25,0,1829,52,244,0.3333333333333333,0.27294658823911494,26,16,1,0
zarachful,False,BOTTOM,Ashe,18,69,14,10,14,196,3,8,7,12228,16643,0,1871,21550,8,2,19,0,1829,785,193,0.2222222222222222,0.22247450297862728,22,7,0,0
Tingl,False,UTILITY,Soraka,110,31,29,6,13,17,0,8,9,11067,9335,597,16464,19758,14,4,31,0,1829,244,183,0.2,0.12478860499950319,17,15,0,0
sex sounds fuark,True,TOP,Yone,315,92,40,8,18,248,14,4,1,20447,38390,0,1783,27860,9,1,25,0,1829,212,146,0.7894736842105263,0.2878682236980311,33,40,10,2
Frommoh,True,JUNGLE,Volibear,41,132,81,8,16,22,6,4,18,15363,14881,0,12391,34573,3,4,23,0,1829,425,93,1.263157894736842,0.11158536260310474,70,122,0,3
DragoonSlayeer,True,MIDDLE,Kaisa,79,75,38,8,16,187,8,5,10,15721,42188,0,1761,13801,10,0,20,0,1829,33,142,0.9473684210526315,0.3163501239758359,25,27,1,5
Koonta,True,BOTTOM,Tristana,26,29,33,7,16,159,13,2,9,14748,28618,0,4924,20108,12,2,30,0,1829,27,77,1.1578947368421053,0.21459282523021614,47,74,2,0
Ausfreak,True,UTILITY,Nami,44,61,72,7,15,8,4,4,21,13694,9282,0,12225,13795,13,7,42,0,1829,199,122,1.3157894736842106,0.06960346449281211,43,79,0,0
Jashroin,False,TOP,Garen,91,37,68,16,18,195,14,9,13,22199,41351,0,7517,52737,8,0,13,0,2436,315,363,0.43548387096774194,0.2001550649761843,44,19,4,5
Frommoh,False,JUNGLE,Lillia,249,105,86,13,18,116,24,8,18,27297,65857,0,24625,55002,5,4,25,0,2436,365,319,0.6774193548387096,0.31877474703290387,18,16,6,2
Elevating,False,MIDDLE,Amumu,87,114,122,19,18,166,4,20,18,20228,25872,0,2203,42874,14,2,25,0,2436,272,651,0.3548387096774194,0.1252330322234622,30,12,1,3
MilkyWayMike,False,BOTTOM,Ezreal,383,64,53,17,18,214,23,12,10,23268,58622,0,4637,35721,13,3,22,0,2436,150,408,0.532258064516129,0.2837553023190114,29,5,8,0
Ausfreak,False,UTILITY,Blitzcrank,35,63,40,19,16,34,3,13,24,16452,14891,1908,516,31959,26,10,82,0,2436,164,459,0.43548387096774194,0.07208185344843825,34,15,0,0
Hearnbingy,True,TOP,Urgot,44,218,26,14,18,247,9,12,10,21646,32537,0,6903,49800,12,2,22,0,2436,393,491,0.27941176470588236,0.18865687643608567,48,20,3,2
Equ1n0x,True,JUNGLE,Warwick,114,18,61,15,18,54,21,13,18,22223,37204,0,40600,79428,12,2,24,0,2436,241,431,0.5735294117647058,0.21571972957508478,53,20,3,0
baitsuo,True,MIDDLE,Yasuo,313,22,152,13,18,156,9,17,15,20255,34657,0,4999,43333,16,1,33,0,2436,161,654,0.35294117647058826,0.20095015138827835,31,17,5,2
PhilDeezNutz,True,BOTTOM,Kalista,76,0,130,7,18,169,16,14,15,19900,29275,0,7869,41684,13,3,25,0,2436,158,489,0.45588235294117646,0.16974757099392387,62,41,2,4
NoFapToDiamond,True,UTILITY,Morgana,103,120,27,11,18,128,7,12,29,20639,38792,1987,9184,36164,23,3,51,0,2436,183,463,0.5294117647058824,0.22492567160662735,63,34,1,4
Kingdomkey93,False,TOP,Gangplank,179,32,84,7,14,135,7,6,13,11451,25877,0,7262,20268,5,2,12,0,1497,215,183,0.46511627906976744,0.4317811384656852,11,0,2,3
Frommoh,False,JUNGLE,Poppy,83,18,33,7,13,28,8,8,4,10025,9389,0,4379,22230,6,4,22,0,1497,522,223,0.27906976744186046,0.15667320347095068,15,4,1,0
Ausfreak,False,MIDDLE,Ahri,49,68,23,20,11,105,3,7,6,8360,8065,0,1732,12488,6,1,10,0,1497,25,199,0.20930232558139536,0.13457083868337938,14,4,0,3
lolove,False,BOTTOM,Draven,65,54,14,7,11,87,2,11,6,8397,8093,0,2067,16649,6,2,9,0,1497,46,244,0.18604651162790697,0.1350445480189354,12,11,0,0
huykute,False,UTILITY,Galio,26,29,34,3,11,19,5,11,12,7344,8506,409,672,20018,9,1,19,0,1497,260,237,0.3953488372093023,0.14193027136104927,15,9,1,1
Lamour,True,TOP,Vladimir,174,8,54,6,13,124,5,6,4,10261,13978,0,14243,20204,10,0,16,0,1497,90,120,0.36,0.176821319412016,27,13,0,2
Count Vronsky,True,JUNGLE,Nocturne,84,15,43,16,14,4,6,6,10,11699,15636,0,9586,22330,7,3,22,0,1497,354,192,0.64,0.19779496733645927,22,23,4,0
baitsuo,True,MIDDLE,Yasuo,166,11,95,5,13,100,6,9,9,11320,13520,0,1351,18066,9,0,32,0,1497,76,265,0.6,0.17102694017913836,28,39,3,2
PhilDeezNutz,True,BOTTOM,Kalista,56,0,96,6,14,153,24,1,5,11613,27026,0,2433,13840,10,3,26,0,1497,176,42,1.16,0.3418714753531012,26,22,2,5
Ragefirebear,True,UTILITY,Leona,45,40,31,10,13,40,2,3,23,9994,8892,524,471,13115,23,5,43,0,1497,84,94,1,0.1124852977192852,31,33,0,2
Bucukaqi,True,TOP,Sion,42,38,24,4,12,141,6,3,2,9783,11970,0,433,11386,5,0,8,0,990,350,86,0.6666666666666666,0.2742316369948213,3,1,4,9
ekkolocation,True,JUNGLE,Warwick,59,4,27,3,10,5,5,1,6,6872,7605,0,8325,12258,1,0,19,0,990,335,27,0.9166666666666666,0.1742413631397854,10,5,1,3
Bad4SSBilbo,True,MIDDLE,Lux,35,19,89,7,10,98,4,2,4,7219,6925,393,0,4022,5,1,9,0,990,221,42,0.6666666666666666,0.15866231559340033,5,0,0,2
SammyD977,True,BOTTOM,Samira,59,8,19,5,10,108,10,4,2,6914,15897,0,1052,11014,6,0,10,0,990,1,76,1,0.3641929994581755,51,23,7,0
Ausfreak,True,UTILITY,Pyke,27,24,16,1,9,23,0,2,3,5453,1251,0,1076,5472,8,4,18,0,990,43,42,0.25,0.02867168481381751,27,11,0,0
queenbabe,False,TOP,Jax,29,35,30,4,11,116,3,4,0,7525,7105,0,2582,11701,3,0,4,0,990,74,61,0.12,0.24011486447297392,10,8,1,0
tobrcbzxi,False,JUNGLE,Kayn,57,25,20,6,9,11,3,8,5,5862,5530,0,3686,15487,0,1,5,0,990,84,137,0.32,0.18690721235266652,7,17,0,0
oolzrdr,False,MIDDLE,Veigar,61,28,12,4,10,85,4,5,1,6828,5913,0,0,8289,7,0,16,0,990,25,93,0.2,0.19982124822793104,16,22,2,1
IEatFood,False,BOTTOM,Xayah,39,18,18,3,8,90,1,4,4,4620,7953,291,690,8465,5,0,7,0,990,10,90,0.2,0.268773263368287,9,4,0,1
BigMommyMilky,False,UTILITY,Rakan,18,21,31,3,8,24,0,4,5,4407,3088,1226,1827,8803,12,2,23,0,990,38,90,0.2,0.10438341157814153,15,15,0,1
Perineum,True,TOP,Gangplank,100,11,61,4,12,128,7,1,8,9915,12458,0,2352,11107,4,0,6,0,1097,154,14,2.5,0.2620206823549407,3,4,3,5
PUNJABKEBAB,True,JUNGLE,LeeSin,114,106,90,6,11,12,7,1,11,8193,5934,117,4137,11953,7,0,11,0,1097,354,21,3,0.12481465135785239,4,5,0,3
410,True,MIDDLE,Yone,153,44,25,5,11,103,7,2,9,8522,12700,0,1098,13422,6,1,16,0,1097,152,38,2.6666666666666665,0.2671184035167038,12,12,0,4
FoCG Johni,True,BOTTOM,Ashe,25,59,5,6,12,127,10,1,10,8615,11928,0,476,6554,5,0,11,0,1097,457,27,3.3333333333333335,0.2508752247426259,9,6,1,5
Banzhee,True,UTILITY,Renata,28,8,35,4,10,7,1,1,19,6958,4525,2412,1711,6949,12,1,29,0,1097,235,27,3.3333333333333335,0.0951710380278772,8,13,0,8
bozhiii,False,TOP,MonkeyKing,51,10,34,8,11,106,1,8,0,7707,8441,0,657,14937,3,1,5,0,1097,28,160,0.030303030303030304,0.2993623175797571,15,22,1,0
OceanTide,False,JUNGLE,Shyvana,73,53,63,8,10,33,3,2,0,7198,6695,0,4322,16007,6,3,12,0,1097,149,27,0.09090909090909091,0.23743442753631608,15,27,0,0
Bucukaqi,False,MIDDLE,Kaisa,60,25,36,5,11,115,2,8,3,7762,7453,0,564,12644,6,0,8,0,1097,3,172,0.15151515151515152,0.26432646890708367,16,22,2,0
