,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,160.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2,0.0,53.0,58.0,0.0,58.0,479.0,494.0,0.0,0.0,0.0,57.0,0.0,102.0,0.0,0.0,173.0,199.0,59.0,57.0,413.0,62.0,166.0,0.0,0.0,375.0,0.0,0.0,6.0,0.0,0.0,106.0,0.0,0.0,0,90.0,519.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,83.0,452.0,0.0,0.0,188.0,218.0,228.0,0.0,67.0,65.0,365.0,0.0,0.0,0.0,185.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,184.0,62.0,0.0,0.0,2014.0,0.0,0.0,75.0,0.0,56.0,57.0,108.0,73.0,122.0,61.0,121.0,0.0,0.0,61.0,140.0,124.0,125.0,0.0
3,213.0,127.0,662.0,655.0,873.0,705.0,1182.0,53.0,152.0,0.0,536.0,497.0,527.0,0.0,686.0,626.0,541.0,258.0,1001.0,413.0,427.0,289.0,0.0,326.0,1030.0,106.0,0.0,11.0,0.0,611.0,469.0,347.0,288.0,163,603.0,663.0,67.0,0.0,0.0,0.0,121.0,542.0,677.0,896.0,869.0,643.0,0.0,809.0,557.0,352.0,290.0,241.0,662.0,366.0,365.0,588.0,0.0,551.0,185.0,146.0,791.0,63.0,0.0,663.0,675.0,214.0,146.0,0.0,71.0,119.0,147.0,0.0,0.0,598.0,157.0,288.0,0.0,745.0,448.0,0.0,216.0,3207.0,62.0,348.0,295.0,212.0,794.0,521.0,354.0,504.0,504.0,61.0,919.0,300.0,664.0,214.0,536.0,358.0,471.0,197.0
4,648.0,743.0,662.0,714.0,973.0,1288.0,1182.0,294.0,256.0,96.0,1498.0,768.0,1038.0,500.0,1193.0,776.0,541.0,606.0,1001.0,966.0,785.0,842.0,470.0,571.0,1030.0,731.0,283.0,463.0,624.0,1320.0,582.0,756.0,527.0,452,911.0,1168.0,515.0,597.0,0.0,248.0,249.0,1280.0,876.0,896.0,1007.0,1141.0,355.0,809.0,802.0,687.0,417.0,241.0,662.0,1242.0,639.0,857.0,73.0,1145.0,447.0,146.0,1165.0,747.0,872.0,1063.0,675.0,886.0,198.0,82.0,71.0,766.0,373.0,399.0,499.0,598.0,606.0,830.0,488.0,1290.0,539.0,431.0,216.0,4428.0,527.0,557.0,413.0,730.0,794.0,814.0,672.0,825.0,698.0,853.0,919.0,1356.0,1039.0,214.0,1333.0,358.0,1214.0,384.0
5,776.0,1206.0,935.0,1411.0,1129.0,1288.0,1489.0,294.0,689.0,96.0,1498.0,1062.0,1146.0,500.0,1193.0,998.0,693.0,1172.0,1924.0,1448.0,785.0,1392.0,470.0,1101.0,1580.0,921.0,283.0,722.0,780.0,1320.0,1278.0,776.0,527.0,939,964.0,1522.0,728.0,597.0,0.0,336.0,1146.0,2140.0,2210.0,1282.0,1285.0,2042.0,785.0,1464.0,880.0,838.0,1065.0,383.0,1279.0,1694.0,639.0,1399.0,186.0,1145.0,492.0,287.0,2062.0,1119.0,872.0,2115.0,1409.0,886.0,562.0,82.0,833.0,766.0,857.0,399.0,499.0,598.0,788.0,917.0,1074.0,2568.0,539.0,431.0,330.0,5183.0,1233.0,557.0,1055.0,1672.0,872.0,891.0,916.0,825.0,698.0,1812.0,1421.0,1921.0,1795.0,214.0,1333.0,,2278.0,1400.0
6,776.0,1206.0,1501.0,1411.0,1316.0,1457.0,2982.0,809.0,689.0,618.0,1578.0,1696.0,2035.0,500.0,1576.0,1227.0,980.0,1172.0,1924.0,2104.0,1832.0,2041.0,1250.0,1101.0,2087.0,1279.0,283.0,1219.0,780.0,1320.0,1278.0,776.0,917.0,1493,1399.0,2676.0,728.0,597.0,0.0,610.0,1238.0,3697.0,2210.0,1282.0,1408.0,2574.0,785.0,1464.0,1318.0,1940.0,1065.0,742.0,2174.0,1694.0,908.0,2423.0,186.0,1313.0,492.0,1528.0,2524.0,1119.0,2151.0,2723.0,1967.0,886.0,562.0,82.0,833.0,766.0,919.0,491.0,499.0,1631.0,1161.0,917.0,1074.0,2630.0,935.0,431.0,330.0,8210.0,1694.0,557.0,1405.0,1672.0,1142.0,1765.0,916.0,995.0,1946.0,1932.0,1421.0,2148.0,1795.0,807.0,1521.0,,3155.0,1782.0
7,1714.0,1206.0,1501.0,2096.0,1316.0,1457.0,3318.0,1644.0,726.0,947.0,2287.0,1696.0,3012.0,1551.0,3309.0,1412.0,1152.0,2481.0,2899.0,2104.0,2735.0,2041.0,2227.0,1265.0,2087.0,1962.0,283.0,1569.0,780.0,2174.0,1535.0,832.0,917.0,1837,1399.0,2676.0,1294.0,597.0,0.0,714.0,1238.0,4520.0,3355.0,2133.0,1765.0,2768.0,1237.0,1859.0,1582.0,2072.0,1161.0,742.0,2978.0,2012.0,1767.0,3374.0,186.0,2241.0,492.0,1528.0,3426.0,1119.0,2256.0,2723.0,2224.0,886.0,1039.0,335.0,1749.0,1469.0,919.0,732.0,907.0,1631.0,1910.0,1574.0,1363.0,3094.0,935.0,431.0,330.0,8478.0,2197.0,557.0,2349.0,2233.0,2309.0,2073.0,2252.0,1313.0,1946.0,2510.0,2147.0,2148.0,2611.0,1290.0,1521.0,,3155.0,2725.0
8,1714.0,1206.0,1501.0,3107.0,2096.0,2099.0,3842.0,1644.0,726.0,947.0,2800.0,2917.0,3012.0,1551.0,4834.0,1974.0,2249.0,2756.0,3284.0,2219.0,2735.0,2213.0,2227.0,1792.0,2922.0,1962.0,283.0,2241.0,2199.0,2174.0,2640.0,832.0,917.0,2520,1962.0,3689.0,1294.0,597.0,600.0,714.0,2462.0,6715.0,4240.0,2308.0,2022.0,4286.0,1499.0,2293.0,2210.0,2888.0,1162.0,2158.0,3044.0,2012.0,2343.0,3374.0,186.0,3045.0,1597.0,2757.0,4011.0,1119.0,2341.0,4701.0,2224.0,1602.0,1039.0,464.0,1749.0,1791.0,2168.0,1005.0,907.0,2132.0,2436.0,1574.0,1673.0,3425.0,1248.0,760.0,1142.0,9610.0,2375.0,755.0,2349.0,2468.0,2309.0,2782.0,2468.0,1313.0,2793.0,2671.0,2147.0,2148.0,2611.0,1290.0,2333.0,,3978.0,3446.0
9,1792.0,1383.0,2572.0,3183.0,2199.0,2099.0,3842.0,1955.0,2419.0,1443.0,3158.0,2917.0,3382.0,2037.0,5107.0,2086.0,2318.0,3415.0,3284.0,2651.0,3563.0,2289.0,2878.0,2842.0,3126.0,2014.0,283.0,2241.0,2304.0,2174.0,3959.0,832.0,917.0,2520,1962.0,4319.0,1294.0,597.0,1126.0,1301.0,2691.0,7971.0,6005.0,2879.0,2087.0,4724.0,1499.0,3868.0,2545.0,2888.0,1359.0,2158.0,3384.0,2824.0,2343.0,4325.0,500.0,3045.0,3397.0,3251.0,5227.0,1803.0,2844.0,4701.0,2700.0,1764.0,1502.0,787.0,2319.0,2825.0,2168.0,2343.0,1280.0,2378.0,3182.0,2245.0,1673.0,4080.0,1248.0,1525.0,1142.0,11980.0,2375.0,755.0,2841.0,3539.0,2986.0,2984.0,3383.0,1846.0,2793.0,3769.0,3188.0,3123.0,3591.0,1570.0,2532.0,,4291.0,3446.0
