,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,960.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2,320.0,320.0,181.0,75.0,113.0,320.0,433.0,417.0,320.0,320.0,320.0,320.0,320.0,240.0,407.0,1400.0,322.0,339,240.0,181.0,181.0,417.0,515.0,320.0,320.0,211.0,455.0,515.0,515.0,320.0,320.0,320.0,113.0,320.0,515.0,330.0,320.0,455.0,113.0,360.0,181.0,320.0,320.0,218.0,1450.0,120.0,181.0,5.0,320.0,473.0,342.0,320.0,320.0,320.0,320.0,320.0,181.0,181.0,270.0,320.0,320.0,330.0,455.0,330.0,325.0,320.0,320.0,515.0,240.0,270.0,181.0,320.0,330.0,407.0,1494.0,320.0,84.0,320.0,417.0,320.0,515.0,320.0,320.0,320.0,113.0,320.0,320.0,320.0,0.0,320.0,320.0,1560.0,320.0,338.0,320.0,320.0,340.0,417.0,320.0,113.0
3,320.0,805.0,519.0,244.0,375.0,635.0,833.0,833.0,840.0,685.0,815.0,710.0,830.0,832.0,678.0,1908.0,657.0,509,904.0,662.0,904.0,833.0,840.0,741.0,815.0,722.0,830.0,621.0,815.0,685.0,790.0,916.0,330.0,660.0,815.0,790.0,685.0,660.0,527.0,790.0,665.0,685.0,685.0,698.0,2164.0,722.0,481.0,324.0,816.0,678.0,862.0,830.0,685.0,815.0,722.0,830.0,904.0,512.0,776.0,685.0,763.0,791.0,735.0,830.0,795.0,792.0,703.0,840.0,904.0,904.0,875.0,532.0,833.0,833.0,2111.0,790.0,238.0,815.0,833.0,815.0,760.0,852.0,833.0,610.0,564.0,833.0,852.0,815.0,502.0,867.0,852.0,2073.0,815.0,808.0,685.0,672.0,790.0,833.0,830.0,564.0
4,855.0,1046.0,914.0,658.0,795.0,953.0,1283.0,1088.0,958.0,1049.0,1200.0,1027.0,1090.0,1226.0,1216.0,2494.0,950.0,846,1207.0,1446.0,1175.0,1283.0,1029.0,952.0,1301.0,980.0,848.0,936.0,815.0,685.0,1287.0,1013.0,752.0,931.0,900.0,1205.0,871.0,977.0,945.0,1103.0,1007.0,1503.0,1054.0,1153.0,2658.0,1101.0,1075.0,720.0,1126.0,933.0,947.0,830.0,863.0,1132.0,808.0,891.0,995.0,1005.0,1124.0,883.0,900.0,952.0,990.0,1124.0,1137.0,1084.0,1145.0,1010.0,1008.0,1344.0,1572.0,1022.0,1154.0,1377.0,2638.0,1108.0,886.0,1084.0,1358.0,1052.0,1126.0,1297.0,1216.0,869.0,889.0,1283.0,1277.0,1277.0,971.0,1144.0,1193.0,2571.0,985.0,1324.0,840.0,763.0,1128.0,1404.0,1022.0,883.0
5,1313.0,1337.0,1366.0,757.0,1342.0,1207.0,1294.0,1453.0,1298.0,1369.0,1218.0,1292.0,1216.0,1830.0,1347.0,3406.0,1317.0,1147,1721.0,1864.0,1836.0,1592.0,1104.0,,1398.0,1703.0,1112.0,986.0,1263.0,1040.0,1619.0,1218.0,1095.0,1256.0,1307.0,1657.0,894.0,1363.0,1326.0,1265.0,1822.0,1658.0,1306.0,1906.0,3832.0,1761.0,2056.0,935.0,1645.0,1283.0,1499.0,1145.0,1046.0,1390.0,1182.0,1263.0,1749.0,1098.0,1909.0,1310.0,1218.0,1107.0,1514.0,1276.0,1628.0,1317.0,1228.0,1189.0,1670.0,1734.0,1633.0,1202.0,1504.0,1719.0,3428.0,1368.0,1150.0,1169.0,1683.0,1475.0,1607.0,1575.0,1499.0,1150.0,1190.0,1577.0,1428.0,1613.0,1347.0,1323.0,1614.0,3364.0,1267.0,1625.0,1155.0,1031.0,1213.0,1663.0,1274.0,1272.0
6,1686.0,1727.0,1497.0,1152.0,1710.0,1834.0,1919.0,1829.0,1572.0,1806.0,1677.0,1666.0,1437.0,2494.0,1705.0,4107.0,1681.0,1636,1932.0,2499.0,2226.0,1968.0,1677.0,,1677.0,2697.0,2032.0,1528.0,1575.0,1330.0,1808.0,1529.0,1383.0,1602.0,1826.0,2607.0,1360.0,1723.0,1816.0,1622.0,2396.0,1997.0,1631.0,2207.0,4738.0,2031.0,2327.0,1312.0,1847.0,1667.0,2009.0,1428.0,1559.0,1610.0,1476.0,1723.0,2306.0,1910.0,2421.0,1515.0,1442.0,1107.0,2151.0,1497.0,1817.0,1621.0,1433.0,1469.0,2394.0,2186.0,2477.0,1419.0,1859.0,2224.0,3815.0,1558.0,1676.0,1404.0,2032.0,1674.0,1887.0,1795.0,1723.0,1537.0,1633.0,1825.0,1633.0,2005.0,1529.0,1685.0,2018.0,4248.0,1792.0,2004.0,1565.0,1031.0,1516.0,1887.0,1647.0,1272.0
7,1929.0,2268.0,1835.0,1779.0,1905.0,2355.0,1919.0,2305.0,2084.0,2262.0,2244.0,2109.0,2446.0,2854.0,2247.0,4868.0,1775.0,1847,2088.0,2800.0,2379.0,2290.0,2513.0,,2045.0,2758.0,2187.0,1906.0,1956.0,1620.0,2160.0,1735.0,1887.0,1791.0,2307.0,3094.0,1821.0,1857.0,1963.0,2185.0,2997.0,2110.0,1961.0,2899.0,5383.0,2332.0,2917.0,1625.0,1847.0,1922.0,2393.0,1838.0,1820.0,1915.0,1561.0,1897.0,2787.0,2423.0,2541.0,1751.0,1747.0,1567.0,2151.0,1968.0,2173.0,2156.0,1784.0,1906.0,2604.0,2546.0,3510.0,1875.0,2261.0,2468.0,4978.0,1939.0,1949.0,1887.0,2069.0,2246.0,2275.0,2394.0,1874.0,1939.0,2089.0,2020.0,1930.0,2504.0,2136.0,2060.0,2444.0,5067.0,1927.0,2400.0,1939.0,1368.0,1907.0,2063.0,2049.0,1742.0
8,2345.0,2492.0,2332.0,2143.0,2357.0,3274.0,2195.0,2798.0,3077.0,2819.0,2498.0,2691.0,2876.0,3275.0,2479.0,5817.0,2257.0,2344,2601.0,3614.0,2831.0,2901.0,2747.0,,2668.0,3662.0,2719.0,2249.0,2527.0,1985.0,2858.0,2137.0,2150.0,2281.0,2709.0,3807.0,2045.0,2177.0,2208.0,2428.0,2997.0,2368.0,2372.0,3052.0,6461.0,2856.0,3670.0,1900.0,2443.0,2758.0,2961.0,2641.0,2211.0,2317.0,2197.0,2317.0,3913.0,3107.0,3385.0,2124.0,2412.0,1854.0,2590.0,2413.0,2967.0,2666.0,2152.0,2389.0,3208.0,3152.0,3874.0,2277.0,2951.0,2875.0,5501.0,2561.0,2377.0,2402.0,2532.0,2506.0,2677.0,2748.0,2330.0,2258.0,2316.0,2207.0,2104.0,2906.0,2376.0,2796.0,3000.0,5646.0,2463.0,3237.0,2603.0,1941.0,2256.0,2653.0,2204.0,2013.0
9,2916.0,3377.0,2576.0,2181.0,2771.0,3693.0,2866.0,3244.0,3373.0,3576.0,2696.0,3145.0,3213.0,3908.0,2495.0,6690.0,2347.0,2344,3225.0,4264.0,4018.0,3502.0,2980.0,,2913.0,3970.0,3218.0,2742.0,2602.0,2586.0,3307.0,2408.0,2587.0,2550.0,3235.0,4106.0,2801.0,2662.0,2612.0,2686.0,3721.0,3051.0,2792.0,3843.0,6991.0,3127.0,4120.0,2174.0,2749.0,3406.0,3177.0,3490.0,2825.0,3045.0,2991.0,2424.0,4524.0,3407.0,4205.0,2475.0,2724.0,2386.0,3082.0,2638.0,3514.0,3051.0,2663.0,2849.0,3631.0,3627.0,4234.0,2632.0,3126.0,3504.0,6471.0,3187.0,2895.0,3092.0,2769.0,3011.0,3026.0,3303.0,3047.0,2743.0,2676.0,2697.0,2334.0,3350.0,2899.0,3343.0,3426.0,6389.0,2980.0,3713.0,2790.0,2607.0,2880.0,3126.0,2794.0,2298.0
