,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y
0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1403.0,500.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,900.0,1403.0,500.0,500.0,510.0,500.0,500.0,970.0,508.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1403.0,500.0,970.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1873.0,500.0,728.0,500.0,500.0,500.0,500.0,500.0,500.0
2,621.0,621.0,584.0,543.0,584.0,621.0,673.0,660.0,621.0,621.0,621.0,621.0,621.0,598.0,653.0,1841.0,1101.0,643,612.0,584.0,584.0,660.0,711.0,621.0,621.0,598.0,698.0,711.0,711.0,621.0,621.0,621.0,523.0,621.0,711.0,629.0,621.0,698.0,584.0,653.0,584.0,621.0,621.0,1001.0,2159.0,563.0,563.0,566.0,621.0,698.0,1091.0,629.0,621.0,621.0,621.0,621.0,584.0,584.0,549.0,621.0,621.0,629.0,698.0,629.0,621.0,621.0,621.0,711.0,612.0,605.0,563.0,621.0,628.0,653.0,2248.0,621.0,1033.0,621.0,660.0,621.0,711.0,621.0,621.0,621.0,523.0,621.0,621.0,621.0,521.0,621.0,621.0,2393.0,621.0,960.0,621.0,621.0,637.0,660.0,621.0,523.0
3,743.0,1005.0,1246.0,697.0,860.0,928.0,1054.0,1054.0,1028.0,933.0,1013.0,960.0,1018.0,1050.0,959.0,2303.0,1427.0,865,983.0,818.0,955.0,1054.0,1028.0,933.0,1013.0,846.0,1018.0,847.0,1013.0,933.0,1023.0,989.0,770.0,918.0,1013.0,1023.0,933.0,918.0,927.0,1023.0,797.0,933.0,933.0,1241.0,2785.0,790.0,755.0,757.0,1155.0,918.0,1498.0,1027.0,933.0,1013.0,933.0,1018.0,920.0,748.0,1202.0,933.0,928.0,1089.0,1338.0,1018.0,1023.0,959.0,933.0,1028.0,864.0,955.0,892.0,858.0,1054.0,1054.0,2921.0,1023.0,1997.0,1013.0,1054.0,1013.0,1253.0,1013.0,1054.0,913.0,759.0,1054.0,1013.0,1013.0,838.0,1233.0,1013.0,2841.0,1013.0,1362.0,933.0,928.0,1023.0,1054.0,1018.0,777.0
4,1128.0,1386.0,1625.0,892.0,1490.0,1218.0,1444.0,1354.0,1294.0,1637.0,1367.0,1250.0,1561.0,1338.0,1367.0,2897.0,1745.0,1188,1291.0,1130.0,1148.0,1444.0,1522.0,1224.0,1313.0,1099.0,1141.0,1155.0,1136.0,1056.0,1633.0,1151.0,978.0,1518.0,1213.0,1683.0,1456.0,1518.0,1574.0,1556.0,997.0,1847.0,1533.0,1416.0,3440.0,1185.0,969.0,912.0,1354.0,1218.0,1710.0,1177.0,1133.0,1463.0,1133.0,1291.0,1064.0,1004.0,1472.0,1133.0,1241.0,1288.0,1638.0,1588.0,1633.0,1259.0,1653.0,1251.0,1287.0,1470.0,1611.0,1236.0,1554.0,1531.0,3536.0,1313.0,2512.0,1556.0,1444.0,1513.0,1500.0,1524.0,1367.0,1331.0,1065.0,1587.0,1413.0,1690.0,1228.0,1733.0,1390.0,3272.0,1236.0,1945.0,1151.0,1201.0,1313.0,1444.0,1441.0,932.0
5,1570.0,2089.0,1936.0,1427.0,1864.0,1471.0,1574.0,1666.0,1584.0,1938.0,1489.0,1769.0,2080.0,1649.0,1513.0,3578.0,2105.0,1518,1644.0,1364.0,1582.0,1697.0,1645.0,,1474.0,1501.0,1394.0,1287.0,1425.0,1325.0,1947.0,1363.0,1218.0,1835.0,1505.0,2540.0,1588.0,2221.0,1857.0,1710.0,1336.0,2064.0,1789.0,1762.0,4415.0,1775.0,1770.0,1368.0,1708.0,1760.0,2125.0,1480.0,2053.0,1885.0,1437.0,1595.0,1452.0,1126.0,1884.0,1502.0,1557.0,1505.0,2027.0,1795.0,2017.0,1895.0,2212.0,1750.0,1654.0,1690.0,1754.0,1358.0,1858.0,1725.0,4355.0,1512.0,2823.0,1755.0,1748.0,1812.0,1917.0,2073.0,1886.0,1620.0,1283.0,1786.0,1620.0,2039.0,1558.0,1932.0,1733.0,3815.0,1756.0,2349.0,1458.0,1418.0,1512.0,1886.0,1725.0,1300.0
6,1909.0,2413.0,2122.0,1602.0,2169.0,1999.0,2225.0,2005.0,2073.0,2222.0,1949.0,2077.0,2334.0,2041.0,1937.0,4349.0,2413.0,1761,1830.0,1679.0,1859.0,2036.0,2019.0,,1774.0,2157.0,2272.0,1670.0,1643.0,2207.0,2155.0,1846.0,1394.0,2089.0,1898.0,3598.0,1927.0,2528.0,2418.0,2121.0,1693.0,2468.0,2104.0,1960.0,5430.0,1989.0,1942.0,1537.0,1976.0,1994.0,2638.0,1697.0,2356.0,2108.0,2291.0,2569.0,1966.0,1452.0,2136.0,1743.0,1778.0,1628.0,2771.0,2049.0,2225.0,2231.0,2425.0,1963.0,1931.0,1904.0,2055.0,1612.0,2187.0,2075.0,4787.0,1684.0,3396.0,1968.0,1992.0,2235.0,2149.0,2291.0,2140.0,1938.0,1642.0,2050.0,1833.0,2347.0,1796.0,2455.0,2163.0,4390.0,2149.0,2856.0,1719.0,1541.0,2513.0,2140.0,2064.0,1475.0
7,2103.0,2796.0,2454.0,2266.0,2347.0,2391.0,2347.0,2640.0,2466.0,2621.0,2226.0,2330.0,2941.0,2247.0,2329.0,4955.0,2535.0,1923,2552.0,1892.0,2009.0,2213.0,2556.0,,2081.0,2300.0,2489.0,1958.0,1884.0,2447.0,2753.0,2288.0,1591.0,2296.0,2208.0,3884.0,2234.0,2690.0,2589.0,2528.0,1997.0,2675.0,2526.0,2378.0,6035.0,2216.0,2555.0,1863.0,2120.0,2211.0,2945.0,2612.0,2568.0,2350.0,2483.0,2786.0,2221.0,1703.0,2296.0,1963.0,1991.0,1926.0,2893.0,2356.0,2503.0,2744.0,2688.0,2157.0,2109.0,2110.0,2612.0,1939.0,2499.0,2222.0,5874.0,2015.0,3951.0,2283.0,2114.0,2468.0,2427.0,2980.0,2347.0,2245.0,2188.0,2257.0,2119.0,3004.0,2243.0,2793.0,2927.0,4935.0,2370.0,3164.0,2026.0,1825.0,2745.0,2347.0,2876.0,1683.0
8,2469.0,3019.0,3202.0,2765.0,2734.0,3314.0,2590.0,2972.0,3120.0,3028.0,2423.0,2873.0,3232.0,2753.0,2566.0,5779.0,2941.0,2276,2800.0,2314.0,2250.0,3164.0,3133.0,,2720.0,2764.0,2856.0,2205.0,2291.0,2744.0,3173.0,2600.0,1825.0,2671.0,2520.0,4996.0,2456.0,3004.0,3060.0,2745.0,2119.0,3072.0,2851.0,2569.0,6802.0,2610.0,3252.0,2115.0,2728.0,2941.0,4463.0,3020.0,3631.0,2662.0,3184.0,3098.0,3050.0,2027.0,2718.0,2285.0,2590.0,2149.0,3214.0,2676.0,3296.0,3076.0,2911.0,2519.0,2433.0,2766.0,2902.0,2251.0,3285.0,2542.0,6360.0,2381.0,4785.0,2611.0,2434.0,2828.0,2820.0,3507.0,2664.0,2628.0,2471.0,2479.0,2257.0,3317.0,2463.0,3277.0,3295.0,5369.0,2707.0,3890.0,2696.0,2147.0,3062.0,3209.0,3093.0,1893.0
9,2877.0,3570.0,3422.0,2906.0,3090.0,3635.0,3012.0,3239.0,3662.0,3454.0,2646.0,3180.0,3425.0,3165.0,2699.0,6346.0,3078.0,2428,3184.0,2807.0,3090.0,3619.0,3381.0,,2914.0,2966.0,3579.0,2523.0,2444.0,3057.0,3554.0,2765.0,2315.0,2889.0,3147.0,5214.0,3079.0,3312.0,3524.0,2968.0,2517.0,3487.0,3374.0,2937.0,7313.0,2803.0,3522.0,2504.0,3581.0,3294.0,4690.0,4030.0,3979.0,3383.0,3847.0,3245.0,3412.0,2213.0,3060.0,2433.0,2813.0,2516.0,3527.0,3122.0,3693.0,3599.0,3433.0,2732.0,2733.0,2979.0,3108.0,2675.0,3432.0,2981.0,6938.0,2797.0,5336.0,3179.0,2642.0,3135.0,3142.0,4149.0,3197.0,2936.0,2873.0,2795.0,2511.0,3637.0,3134.0,3685.0,3892.0,5927.0,3110.0,4815.0,2919.0,2598.0,3389.0,4015.0,3501.0,2117.0
