,Minion Kills_x,Minion Kills_y,Minion Kills_x,Minion Kills_y,Minion Kills_x,Minion Kills_y,Minion Kills_x,Minion Kills_y,Minion Kills_x,Minion Kills_y
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.0,4.0,3.0,0,3.0,4.0,5.0,5.0,4.0,4.0
3,4.0,15.0,11.0,0,12.0,12.0,16.0,16.0,16.0,12.0
4,16.0,20.0,23.0,0,21.0,20.0,28.0,24.0,16.0,17.0
5,16.0,25.0,34.0,1,33.0,24.0,28.0,32.0,19.0,24.0
6,24.0,33.0,38.0,1,43.0,26.0,36.0,40.0,21.0,30.0
7,26.0,39.0,50.0,1,46.0,38.0,36.0,48.0,33.0,41.0
8,36.0,43.0,58.0,1,58.0,52.0,41.0,56.0,42.0,53.0
9,48.0,51.0,64.0,1,68.0,60.0,48.0,64.0,46.0,67.0
10,57.0,59.0,74.0,8,78.0,70.0,53.0,73.0,54.0,73.0
11,61.0,63.0,83.0,8,91.0,73.0,57.0,77.0,61.0,78.0
12,63.0,70.0,84.0,8,92.0,79.0,66.0,89.0,61.0,88.0
13,67.0,75.0,91.0,10,104.0,88.0,67.0,97.0,65.0,94.0
14,72.0,84.0,91.0,10,113.0,88.0,71.0,109.0,79.0,102.0
15,78.0,93.0,102.0,10,120.0,108.0,81.0,123.0,91.0,111.0
16,82.0,95.0,109.0,10,134.0,112.0,87.0,134.0,92.0,123.0
17,95.0,104.0,109.0,10,143.0,119.0,88.0,140.0,104.0,135.0
18,97.0,110.0,109.0,10,149.0,129.0,88.0,148.0,106.0,135.0
19,100.0,113.0,124.0,17,155.0,137.0,92.0,148.0,106.0,141.0
20,106.0,123.0,124.0,17,166.0,147.0,96.0,165.0,106.0,152.0
21,107.0,127.0,134.0,21,171.0,147.0,110.0,170.0,121.0,163.0
22,112.0,134.0,137.0,21,175.0,155.0,119.0,177.0,125.0,177.0
23,,142.0,143.0,21,179.0,155.0,119.0,177.0,127.0,190.0
24,,142.0,147.0,29,179.0,161.0,128.0,184.0,127.0,195.0
25,,142.0,156.0,33,180.0,161.0,129.0,189.0,,203.0
26,,144.0,157.0,38,182.0,166.0,130.0,193.0,,204.0
27,,144.0,157.0,38,187.0,169.0,140.0,193.0,,209.0
28,,,168.0,38,196.0,188.0,140.0,,,209.0
29,,,168.0,39,201.0,192.0,148.0,,,212.0
30,,,180.0,39,205.0,196.0,149.0,,,220.0
31,,,180.0,42,207.0,196.0,154.0,,,224.0
32,,,190.0,42,208.0,,158.0,,,238.0
33,,,201.0,42,209.0,,158.0,,,248.0
34,,,202.0,46,219.0,,167.0,,,248.0
35,,,206.0,47,222.0,,168.0,,,
36,,,214.0,54,225.0,,168.0,,,
37,,,215.0,56,225.0,,172.0,,,
38,,,215.0,59,,,,,,
39,,,,59,,,,,,
40,,,,59,,,,,,
41,,,,59,,,,,,
