,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,174.0,0.0,179.0,143.0,504.0,181.0,107.0,317.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,174.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,218.0,0.0,0.0,182.0,0.0,0.0,0.0,99.0,0.0,0.0,66.0,0.0,48.0,0.0,0.0,51.0,0.0,0.0,450.0,55.0,60.0,966.0,106.0,118.0,226.0,0.0,80.0,124.0,0.0,312.0,129.0,0.0,0.0,0.0,0.0,118.0,463.0,89.0,0.0,174.0,40.0,377.0,742.0,841.0,291.0,107.0,1634.0,0.0,255,0.0,0.0,307.0,139.0,0.0,0.0,0.0,0.0,86.0,43.0,131.0,139.0,174.0,0.0,169.0,0.0,40.0,43.0,0.0,87.0,0.0,162.0,74.0,6.0,0.0,91.0,220.0,143.0,44.0,333.0,8.0,0.0,0.0,78.0,165.0,59.0,0.0,106.0,120.0,153.0,336.0,87.0,0.0,529.0,0.0,0.0,0.0,59.0,532.0,155.0,57.0
3,291.0,0.0,177.0,182.0,0.0,346.0,0.0,99.0,0.0,115.0,278.0,107.0,154.0,177.0,362.0,718.0,0.0,81.0,1346.0,111.0,343.0,966.0,211.0,288.0,513.0,229.0,121.0,255.0,343.0,312.0,585.0,0.0,198.0,299.0,354.0,298.0,463.0,89.0,232.0,665.0,310.0,377.0,1155.0,1976.0,479.0,347.0,2209.0,317.0,432,54.0,0.0,881.0,206.0,38.0,559.0,0.0,633.0,470.0,534.0,131.0,759.0,342.0,0.0,169.0,189.0,853.0,407.0,0.0,87.0,364.0,162.0,463.0,6.0,0.0,623.0,685.0,644.0,630.0,575.0,476.0,0.0,181.0,542.0,545.0,365.0,0.0,261.0,575.0,439.0,605.0,274.0,0.0,934.0,474.0,287.0,44.0,244.0,532.0,155.0,203.0
4,885.0,454.0,177.0,377.0,0.0,346.0,0.0,248.0,0.0,691.0,1125.0,143.0,618.0,177.0,362.0,1086.0,117.0,81.0,1707.0,345.0,343.0,1472.0,211.0,288.0,1131.0,943.0,555.0,255.0,595.0,848.0,996.0,700.0,198.0,619.0,411.0,696.0,502.0,438.0,380.0,665.0,310.0,667.0,2171.0,2202.0,568.0,922.0,2913.0,622.0,754,108.0,0.0,1213.0,414.0,449.0,559.0,303.0,1443.0,470.0,813.0,131.0,1438.0,1152.0,0.0,169.0,427.0,853.0,771.0,287.0,87.0,364.0,162.0,1111.0,6.0,0.0,623.0,685.0,810.0,935.0,925.0,679.0,60.0,548.0,542.0,780.0,1109.0,117.0,415.0,711.0,558.0,733.0,274.0,634.0,1612.0,474.0,587.0,185.0,244.0,1041.0,729.0,423.0
5,1433.0,776.0,401.0,377.0,213.0,638.0,0.0,248.0,0.0,913.0,1125.0,143.0,618.0,177.0,563.0,1636.0,276.0,438.0,2673.0,722.0,1185.0,2182.0,492.0,353.0,1131.0,943.0,956.0,654.0,915.0,848.0,1079.0,700.0,313.0,860.0,411.0,946.0,746.0,438.0,603.0,884.0,406.0,667.0,3490.0,3136.0,865.0,1222.0,4128.0,2100.0,819,162.0,0.0,1295.0,414.0,655.0,1030.0,480.0,1648.0,520.0,813.0,131.0,1862.0,1269.0,220.0,266.0,427.0,1058.0,1039.0,418.0,836.0,646.0,700.0,1546.0,6.0,295.0,828.0,742.0,1100.0,1057.0,925.0,1126.0,303.0,548.0,960.0,971.0,2004.0,192.0,415.0,1033.0,676.0,1383.0,356.0,712.0,1612.0,1223.0,773.0,234.0,427.0,1041.0,729.0,545.0
6,1463.0,897.0,401.0,377.0,627.0,686.0,0.0,248.0,0.0,913.0,1257.0,223.0,859.0,527.0,648.0,1929.0,1150.0,438.0,3127.0,722.0,2170.0,2182.0,910.0,396.0,1305.0,2032.0,956.0,1462.0,1080.0,908.0,1079.0,983.0,511.0,860.0,1053.0,1011.0,1124.0,438.0,603.0,1205.0,758.0,667.0,3751.0,4655.0,1042.0,1222.0,4865.0,3630.0,909,162.0,450.0,2345.0,414.0,912.0,1605.0,1177.0,1648.0,520.0,902.0,309.0,2448.0,1556.0,220.0,266.0,850.0,1058.0,1039.0,492.0,836.0,851.0,700.0,1557.0,73.0,295.0,1083.0,1022.0,1274.0,1057.0,1869.0,1425.0,303.0,1142.0,960.0,1697.0,2004.0,471.0,415.0,2038.0,917.0,1431.0,356.0,908.0,1933.0,1691.0,1438.0,234.0,427.0,1454.0,794.0,545.0
7,2442.0,897.0,464.0,808.0,627.0,686.0,0.0,248.0,0.0,1433.0,1358.0,516.0,859.0,794.0,999.0,2431.0,1150.0,642.0,3127.0,1009.0,2838.0,2645.0,1214.0,451.0,1480.0,2352.0,1032.0,1597.0,1080.0,981.0,1297.0,1055.0,668.0,1168.0,1254.0,1316.0,1644.0,1013.0,603.0,1205.0,1219.0,1200.0,3751.0,6140.0,1819.0,2205.0,5678.0,5006.0,1346,241.0,663.0,2429.0,749.0,1257.0,1872.0,1635.0,3357.0,745.0,1707.0,808.0,2776.0,1556.0,602.0,717.0,850.0,1551.0,2436.0,1442.0,836.0,851.0,700.0,1634.0,457.0,513.0,1304.0,1022.0,1619.0,1620.0,1869.0,1429.0,365.0,1142.0,1668.0,1757.0,2782.0,792.0,925.0,2038.0,1158.0,1589.0,965.0,1320.0,2747.0,1770.0,1825.0,234.0,427.0,1454.0,794.0,1204.0
8,2525.0,998.0,464.0,808.0,1239.0,821.0,0.0,393.0,352.0,1433.0,1358.0,886.0,859.0,947.0,999.0,2643.0,1990.0,755.0,3679.0,1009.0,4139.0,3588.0,1823.0,598.0,2274.0,2352.0,1240.0,2294.0,1318.0,1683.0,1297.0,1055.0,830.0,1454.0,1254.0,1798.0,1644.0,1013.0,603.0,1595.0,1370.0,1512.0,4204.0,6140.0,2084.0,2506.0,7020.0,6004.0,1761,399.0,925.0,3114.0,1006.0,1362.0,2674.0,2066.0,4140.0,745.0,1957.0,1692.0,3447.0,1788.0,602.0,717.0,1135.0,1551.0,2436.0,1442.0,915.0,1204.0,700.0,2774.0,462.0,927.0,2276.0,1243.0,1671.0,1620.0,1869.0,1429.0,365.0,1142.0,2091.0,2594.0,2782.0,952.0,1173.0,2720.0,1460.0,1589.0,1111.0,1613.0,2747.0,2973.0,2659.0,234.0,427.0,2017.0,1157.0,1777.0
9,2998.0,1607.0,464.0,1680.0,1761.0,821.0,324.0,597.0,696.0,1433.0,1727.0,886.0,1943.0,1042.0,1368.0,2787.0,2390.0,765.0,5743.0,1427.0,4882.0,4691.0,2197.0,699.0,2274.0,2692.0,1254.0,2586.0,1978.0,1883.0,1955.0,1558.0,1921.0,1576.0,1254.0,1798.0,1833.0,1013.0,796.0,1595.0,1731.0,1512.0,4778.0,8592.0,2450.0,3541.0,8685.0,7503.0,2692,649.0,1489.0,3114.0,1275.0,1575.0,2971.0,2644.0,6224.0,1484.0,2364.0,1692.0,4487.0,2366.0,602.0,1157.0,1135.0,1551.0,3124.0,1545.0,2056.0,1204.0,1659.0,3299.0,837.0,973.0,2694.0,1718.0,1816.0,2139.0,2247.0,1444.0,577.0,1791.0,2459.0,3393.0,2782.0,1139.0,1683.0,3741.0,2067.0,2230.0,1553.0,1613.0,3321.0,2973.0,3227.0,817.0,427.0,2376.0,1301.0,1989.0
