,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y
0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,0.0,0.0,660.0,660.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,960.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,960.0,991.0,0.0,5.0,960.0,960.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1323.0,131.0,113.0,18.0,211.0,113.0,0.0,113.0,113.0,131.0,113.0,113.0,113.0,113.0,113.0,113.0,270.0,211.0,570.0,120.0,669.0,539.0,613.0,270.0,270.0,113.0,240.0,270.0,270.0,326.0,158.0,449.0,113.0,240.0,113.0,113.0,20.0,120.0,113.0,122.0,181.0,223.0,1439.0,1351.0,240.0,216.0,1707.0,1260.0,270,211.0,0.0,240.0,6.0,113.0,174.0,158.0,131.0,240.0,240.0,270.0,1528.0,186.0,417.0,157.0,37.0,240.0,240.0,270.0,270.0,113.0,240.0,240.0,270.0,276.0,240.0,250.0,181.0,113.0,120.0,0.0,417.0,270.0,113.0,240.0,211.0,0.0,190.0,240.0,181.0,240.0,120.0,113.0,270.0,113.0,211.0,407.0,211.0,0.0,270.0,113.0
3,1952.0,545.0,450.0,318.0,904.0,337.0,95.0,412.0,545.0,432.0,432.0,356.0,545.0,450.0,485.0,564.0,845.0,845.0,1200.0,543.0,1609.0,1314.0,1187.0,662.0,904.0,244.0,845.0,694.0,904.0,846.0,496.0,833.0,450.0,782.0,450.0,545.0,156.0,439.0,578.0,535.0,759.0,676.0,1943.0,1911.0,815.0,605.0,2512.0,1881.0,782,904.0,243.0,875.0,363.0,508.0,342.0,432.0,398.0,785.0,722.0,904.0,2217.0,728.0,678.0,513.0,243.0,1061.0,815.0,904.0,755.0,483.0,904.0,904.0,904.0,910.0,662.0,636.0,374.0,244.0,571.0,281.0,693.0,904.0,592.0,965.0,512.0,0.0,914.0,904.0,662.0,662.0,639.0,450.0,946.0,651.0,663.0,773.0,722.0,473.0,845.0,450.0
4,2559.0,820.0,808.0,760.0,1174.0,808.0,526.0,868.0,714.0,677.0,864.0,702.0,977.0,808.0,1145.0,883.0,1386.0,1446.0,1544.0,1235.0,2206.0,2247.0,1652.0,1083.0,1414.0,914.0,1446.0,1143.0,1446.0,1348.0,985.0,1150.0,901.0,1356.0,970.0,789.0,383.0,929.0,928.0,818.0,1423.0,1206.0,2756.0,2594.0,1446.0,1224.0,3119.0,2335.0,1327,1446.0,620.0,1632.0,627.0,901.0,762.0,929.0,1154.0,1446.0,1272.0,1318.0,2857.0,1367.0,1088.0,871.0,601.0,1361.0,1386.0,1355.0,1265.0,860.0,1446.0,1337.0,1446.0,1451.0,1022.0,996.0,601.0,731.0,1446.0,752.0,1182.0,1361.0,630.0,1025.0,1088.0,578.0,1433.0,1127.0,1235.0,1205.0,1121.0,1053.0,1389.0,801.0,1633.0,773.0,1375.0,811.0,1434.0,808.0
5,3417.0,1106.0,1282.0,1049.0,1808.0,1353.0,526.0,924.0,1204.0,1277.0,940.0,1116.0,1090.0,1170.0,1575.0,1272.0,2080.0,2080.0,2046.0,1633.0,2747.0,2978.0,2403.0,1536.0,1834.0,1273.0,1839.0,1778.0,1991.0,1364.0,1380.0,1293.0,901.0,2080.0,1083.0,1093.0,897.0,1275.0,1217.0,1266.0,1843.0,1751.0,3394.0,3127.0,1744.0,1799.0,4231.0,3081.0,1991,2061.0,1001.0,1992.0,876.0,1198.0,1089.0,1547.0,1611.0,2080.0,1665.0,1862.0,3473.0,1367.0,1390.0,1267.0,846.0,1845.0,2050.0,1878.0,1829.0,1048.0,2080.0,2090.0,2080.0,2040.0,1626.0,1547.0,1071.0,1151.0,1841.0,1070.0,1556.0,2085.0,1094.0,1719.0,1399.0,1153.0,1796.0,2001.0,1611.0,1929.0,1785.0,1171.0,1745.0,1270.0,1722.0,1123.0,2046.0,1075.0,1798.0,1110.0
6,4132.0,1603.0,1376.0,1547.0,2259.0,1466.0,620.0,1149.0,1447.0,1390.0,1258.0,1176.0,1396.0,1530.0,1612.0,1272.0,2714.0,2351.0,2379.0,2190.0,4143.0,3761.0,2852.0,2111.0,1944.0,1655.0,2414.0,2082.0,2625.0,1641.0,1776.0,1565.0,1317.0,2510.0,1334.0,1225.0,1256.0,1331.0,1540.0,1761.0,2448.0,2474.0,3785.0,4110.0,2557.0,2099.0,5155.0,3929.0,2685,2331.0,1575.0,2671.0,1346.0,1558.0,1469.0,1772.0,1943.0,2684.0,2046.0,2308.0,4203.0,1791.0,1622.0,1700.0,1058.0,2268.0,2321.0,2392.0,2219.0,1443.0,2684.0,2513.0,2380.0,2524.0,2108.0,2181.0,1164.0,1413.0,2923.0,1598.0,1828.0,2355.0,1489.0,2271.0,1973.0,1846.0,2490.0,2905.0,1919.0,2563.0,2358.0,1402.0,2319.0,1687.0,2237.0,1281.0,2498.0,1404.0,2563.0,1336.0
7,5158.0,1860.0,1584.0,1547.0,2649.0,1755.0,770.0,1663.0,1785.0,1617.0,1672.0,1646.0,1559.0,1642.0,2073.0,1953.0,3135.0,2858.0,3112.0,2642.0,4550.0,4167.0,3407.0,2474.0,2697.0,1897.0,2535.0,2531.0,2925.0,2069.0,2266.0,1966.0,1913.0,2747.0,1748.0,1658.0,1465.0,1745.0,1766.0,1948.0,2597.0,2957.0,4344.0,5120.0,3128.0,2635.0,5617.0,4433.0,3124,2880.0,1709.0,3062.0,1862.0,2008.0,1638.0,1959.0,2471.0,3026.0,2732.0,2780.0,4866.0,2453.0,1622.0,1813.0,1519.0,3121.0,2693.0,3335.0,2731.0,1608.0,3015.0,3084.0,2981.0,3095.0,2351.0,2722.0,1653.0,1800.0,3044.0,1917.0,2269.0,2896.0,2033.0,2602.0,2686.0,2358.0,3031.0,3446.0,2755.0,2894.0,2817.0,1794.0,3194.0,2101.0,2950.0,1699.0,2921.0,1658.0,3105.0,1412.0
8,6092.0,2293.0,2167.0,1792.0,3105.0,2285.0,1213.0,1965.0,1992.0,1956.0,2030.0,2002.0,1879.0,2049.0,2374.0,2135.0,3868.0,3564.0,4127.0,2763.0,6396.0,5054.0,3907.0,3049.0,3213.0,2598.0,3139.0,3154.0,3439.0,2871.0,2506.0,2153.0,2292.0,3305.0,2178.0,2181.0,1785.0,1820.0,2373.0,2389.0,2938.0,3553.0,5197.0,5615.0,3702.0,2785.0,6947.0,5606.0,3544,3454.0,2141.0,3727.0,2088.0,2479.0,2074.0,2510.0,2640.0,3578.0,3185.0,3331.0,6417.0,2783.0,1622.0,2190.0,1888.0,3481.0,3495.0,3699.0,3121.0,2022.0,3708.0,3604.0,3615.0,3766.0,2925.0,3241.0,2067.0,2045.0,3827.0,2331.0,2455.0,3530.0,2101.0,3020.0,3320.0,3022.0,3525.0,3959.0,3026.0,3648.0,3762.0,2150.0,3826.0,2423.0,3293.0,1986.0,3415.0,2137.0,3739.0,1914.0
9,6803.0,2977.0,2525.0,2355.0,3206.0,2657.0,1449.0,2423.0,2384.0,2389.0,2456.0,2171.0,2324.0,2659.0,2797.0,2611.0,4410.0,4236.0,4952.0,3487.0,6696.0,6219.0,4474.0,3262.0,3757.0,2711.0,3621.0,3705.0,3870.0,3072.0,2806.0,2529.0,2762.0,3721.0,2396.0,2507.0,1898.0,2402.0,2373.0,2502.0,3606.0,3856.0,5742.0,6786.0,4155.0,3105.0,7876.0,6118.0,4613,3876.0,2251.0,4241.0,2482.0,2703.0,2135.0,2694.0,3112.0,4474.0,3797.0,4033.0,7315.0,2904.0,1769.0,2630.0,2353.0,3602.0,3963.0,4396.0,4255.0,2321.0,3979.0,4288.0,4250.0,4400.0,3464.0,3279.0,2216.0,2537.0,4158.0,2456.0,2644.0,3979.0,2477.0,3441.0,3833.0,3535.0,4159.0,5028.0,3501.0,4252.0,4338.0,2546.0,4303.0,2920.0,3623.0,2848.0,3989.0,2441.0,4085.0,2097.0
