,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y
0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,950.0,500.0,950.0,950.0,950.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,1400.0,500.0,500.0,1400.0,1400.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
1,1403.0,500.0,500.0,543.0,500.0,500.0,500.0,500.0,500.0,500.0,520.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,950.0,500.0,950.0,950.0,950.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,593.0,500.0,500.0,550.0,500.0,500.0,1403.0,1683.0,500.0,525.0,1403.0,1403.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1403.0,525.0,500.0,550.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
2,1787.0,544.0,523.0,567.0,577.0,523.0,521.0,523.0,523.0,523.0,543.0,523.0,523.0,523.0,523.0,584.0,626.0,542.0,1071.0,542.0,1016.0,959.0,991.0,605.0,570.0,563.0,612.0,577.0,626.0,1041.0,542.0,686.0,584.0,591.0,584.0,584.0,756.0,556.0,565.0,594.0,542.0,884.0,1866.0,2079.0,612.0,588.0,2078.0,1763.0,612,577.0,523.0,612.0,983.0,584.0,563.0,584.0,584.0,598.0,598.0,612.0,1904.0,588.0,660.0,608.0,521.0,598.0,612.0,626.0,612.0,523.0,612.0,577.0,626.0,605.0,612.0,641.0,585.0,543.0,542.0,563.0,660.0,591.0,584.0,584.0,584.0,521.0,984.0,612.0,584.0,556.0,563.0,544.0,570.0,584.0,584.0,653.0,584.0,521.0,612.0,563.0
3,2290.0,759.0,737.0,722.0,934.0,706.0,672.0,720.0,759.0,697.0,758.0,677.0,713.0,713.0,1301.0,825.0,955.0,896.0,1437.0,790.0,1926.0,1376.0,1321.0,818.0,892.0,748.0,934.0,804.0,983.0,1448.0,797.0,1054.0,853.0,881.0,811.0,902.0,890.0,726.0,872.0,997.0,790.0,1076.0,2488.0,2625.0,892.0,1112.0,2660.0,2226.0,825,808.0,699.0,892.0,1137.0,976.0,734.0,821.0,804.0,948.0,902.0,888.0,2381.0,857.0,959.0,763.0,695.0,1306.0,867.0,976.0,906.0,1177.0,969.0,755.0,986.0,934.0,853.0,1004.0,833.0,817.0,769.0,1117.0,974.0,874.0,1248.0,906.0,783.0,643.0,1355.0,913.0,734.0,797.0,832.0,720.0,1125.0,1139.0,839.0,959.0,797.0,906.0,920.0,825.0
4,2788.0,1107.0,872.0,1067.0,1106.0,915.0,862.0,915.0,915.0,952.0,993.0,812.0,1340.0,908.0,1484.0,1123.0,1260.0,1202.0,1683.0,1085.0,2406.0,2150.0,1613.0,997.0,1273.0,1004.0,1155.0,1018.0,1239.0,2018.0,1462.0,1674.0,1197.0,1088.0,1155.0,1151.0,1045.0,962.0,1186.0,1192.0,1148.0,1363.0,3208.0,3609.0,1225.0,1340.0,3168.0,2694.0,1220,1099.0,936.0,1413.0,1326.0,1246.0,1025.0,1161.0,1549.0,1288.0,1233.0,1116.0,3053.0,1452.0,1354.0,979.0,902.0,1548.0,1165.0,1176.0,1176.0,1312.0,1274.0,1478.0,1296.0,1253.0,1081.0,1245.0,1008.0,1053.0,1204.0,1352.0,1354.0,1381.0,1523.0,1050.0,1262.0,864.0,1632.0,1078.0,1022.0,1238.0,1025.0,1250.0,1531.0,1339.0,1423.0,1082.0,1071.0,1597.0,1239.0,1120.0
5,3458.0,1325.0,1141.0,1216.0,1410.0,1070.0,996.0,1063.0,1112.0,1311.0,1127.0,946.0,1474.0,1063.0,1734.0,1500.0,1620.0,1553.0,2069.0,1333.0,3226.0,3034.0,2031.0,1224.0,1451.0,1336.0,1417.0,1231.0,1557.0,2153.0,1731.0,1868.0,1319.0,1406.0,1319.0,1608.0,1322.0,1174.0,1533.0,1529.0,1368.0,1646.0,3827.0,4229.0,1410.0,1581.0,4362.0,3674.0,1552,1452.0,1151.0,1654.0,1460.0,1787.0,1217.0,1528.0,2247.0,1641.0,1516.0,1441.0,3488.0,1574.0,1927.0,1197.0,1115.0,1789.0,1525.0,1602.0,1473.0,1526.0,1578.0,1845.0,1682.0,1613.0,1280.0,1570.0,1202.0,1377.0,1494.0,1675.0,1716.0,1734.0,1791.0,1361.0,1911.0,1168.0,1908.0,1595.0,1207.0,1591.0,1416.0,1534.0,1821.0,1841.0,1573.0,1389.0,1361.0,1894.0,1459.0,1333.0
6,3935.0,1607.0,1276.0,1458.0,2037.0,1226.0,1145.0,1254.0,1261.0,1446.0,1302.0,1131.0,1759.0,1198.0,1928.0,1623.0,1897.0,1766.0,2310.0,1631.0,4216.0,3532.0,2329.0,1560.0,1723.0,1885.0,1666.0,1462.0,1872.0,2371.0,2088.0,2140.0,1547.0,1564.0,1538.0,1808.0,1700.0,1308.0,1689.0,1891.0,1683.0,1961.0,4229.0,5262.0,1785.0,1809.0,5079.0,4422.0,1867,1666.0,1532.0,2060.0,1595.0,2092.0,1459.0,1738.0,2468.0,1977.0,1730.0,1812.0,4162.0,1889.0,2170.0,1367.0,1566.0,2041.0,1718.0,1924.0,1865.0,1796.0,1879.0,2167.0,1895.0,1900.0,1473.0,1892.0,1397.0,1512.0,2248.0,1979.0,1954.0,1948.0,1926.0,1575.0,2132.0,1567.0,2279.0,2203.0,1435.0,1976.0,1759.0,1861.0,2157.0,2204.0,1867.0,1597.0,1624.0,2298.0,1781.0,1470.0
7,4704.0,1772.0,1430.0,1592.0,2271.0,1447.0,1279.0,1430.0,1416.0,1640.0,1476.0,1325.0,1914.0,1367.0,2523.0,2014.0,2166.0,1976.0,2741.0,1868.0,5172.0,3864.0,2779.0,1738.0,2129.0,2049.0,1809.0,1738.0,2057.0,2613.0,2322.0,2641.0,2088.0,1777.0,1880.0,2178.0,1990.0,1648.0,1969.0,2026.0,1861.0,2467.0,4691.0,6302.0,2089.0,2545.0,5487.0,4872.0,2080,1942.0,1735.0,2266.0,2022.0,2621.0,1595.0,1915.0,3490.0,2183.0,2369.0,2262.0,4588.0,2249.0,2292.0,1501.0,1772.0,2617.0,2400.0,2542.0,2106.0,1930.0,2085.0,2401.0,2229.0,2211.0,1682.0,2168.0,1591.0,1863.0,2412.0,2134.0,2221.0,2231.0,2692.0,1816.0,2602.0,1850.0,2597.0,2674.0,1913.0,2140.0,1982.0,2180.0,2726.0,2574.0,2343.0,1927.0,1840.0,2540.0,2113.0,1592.0
8,5220.0,1996.0,1564.0,1838.0,2638.0,1835.0,1518.0,1633.0,1619.0,1774.0,1640.0,1649.0,2097.0,1590.0,2657.0,2178.0,2633.0,2513.0,3590.0,2011.0,6859.0,5848.0,3093.0,2069.0,2512.0,2332.0,2133.0,1993.0,2311.0,3301.0,2507.0,2864.0,2391.0,2352.0,2239.0,2619.0,2124.0,1783.0,2395.0,2256.0,2087.0,3065.0,5209.0,6704.0,2497.0,2702.0,6222.0,5509.0,2300,2280.0,1980.0,2617.0,2196.0,3004.0,1975.0,2230.0,3703.0,2461.0,2693.0,3103.0,5728.0,2455.0,2414.0,1739.0,1971.0,2886.0,2697.0,2748.0,2340.0,2158.0,2424.0,2942.0,2600.0,2427.0,1881.0,2517.0,1745.0,2038.0,2848.0,2268.0,2443.0,2632.0,2961.0,2391.0,2961.0,2174.0,2942.0,2921.0,2098.0,2513.0,2641.0,2568.0,3085.0,3205.0,2717.0,2149.0,2053.0,2718.0,2382.0,2317.0
9,5697.0,2526.0,1699.0,2511.0,3035.0,2005.0,1652.0,2091.0,1914.0,1909.0,1985.0,1784.0,2690.0,1863.0,3139.0,2494.0,3212.0,2931.0,4871.0,2371.0,7092.0,6943.0,3501.0,2292.0,2847.0,2504.0,2382.0,2272.0,2636.0,3590.0,2798.0,3256.0,2591.0,2682.0,2519.0,2841.0,2299.0,1966.0,2530.0,2465.0,2673.0,3244.0,5626.0,7923.0,2762.0,2917.0,6719.0,5915.0,2928,2550.0,2414.0,2924.0,2390.0,3231.0,2199.0,2416.0,4087.0,3422.0,3077.0,3372.0,6393.0,2599.0,2591.0,2195.0,2297.0,3009.0,3004.0,3106.0,2961.0,2323.0,2791.0,3535.0,2930.0,2797.0,2191.0,2639.0,1950.0,2423.0,2971.0,2426.0,2641.0,3285.0,3421.0,3003.0,3289.0,2409.0,3226.0,3598.0,2435.0,2813.0,2984.0,2816.0,3522.0,3553.0,3214.0,2619.0,2330.0,3008.0,2760.0,2482.0
