SummonerName,WinLoss,Lane,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken
ollwig,False,TOP,Jax,29,48,30,5,11,103,2,5,0,7403,10713,0,1838,13325,5,0,7,0,1034,57,88,0.25,0.35420744368087587,0,28,1,2
Invictis,False,JUNGLE,Lillia,89,38,33,2,11,25,4,3,1,7780,6849,0,6256,16643,3,1,12,0,1034,264,90,0.625,0.2264420428525102,5,8,1,0
DW Danteh,False,BOTTOM,Aphelios,39,69,0,5,9,123,1,4,2,5920,4792,0,666,8873,5,2,10,0,1034,82,97,0.375,0.15845583733990196,13,13,0,1
1MightyBullDog3,False,UTILITY,Thresh,10,15,8,6,8,22,0,2,5,4443,2239,644,0,5909,14,4,21,0,1034,48,37,0.625,0.07405360164842419,5,5,0,0
Aladoric,False,MIDDLE,Cassiopeia,90,11,262,3,10,137,1,3,0,7192,5651,0,492,8763,6,0,9,0,1034,82,77,0.125,0.18684107447828782,7,14,0,1
BioPanther,True,TOP,Gwen,63,15,48,12,12,137,4,2,2,9528,11397,0,1600,12228,6,0,9,0,1034,56,60,0.35294117647058826,0.28261634361729887,30,1,2,1
honeythief,True,JUNGLE,Sejuani,26,60,58,4,10,13,2,0,7,7107,5706,0,4656,12248,9,3,23,0,1034,207,0,0.5294117647058824,0.14150237542869934,3,9,0,2
Incursio,True,MIDDLE,Yone,161,37,40,4,11,126,6,0,2,8489,9517,0,467,8189,5,3,12,0,1034,98,0,0.47058823529411764,0.23599924173414485,8,26,0,1
originalpainting,True,BOTTOM,Twitch,28,21,16,5,11,134,5,2,0,7779,9377,0,0,7743,7,0,8,0,1034,177,42,0.29411764705882354,0.2325141342762815,5,12,1,3
LUCIANEZREAL,True,UTILITY,Lux,21,16,72,2,9,12,0,4,5,5250,4330,1040,455,5605,15,2,27,0,1034,110,63,0.29411764705882354,0.10736790494357544,29,12,0,3
nice mia,False,TOP,Nasus,92,13,31,3,11,88,2,4,2,7712,4442,0,368,19723,5,1,8,0,1208,41,102,0.26666666666666666,0.10265207472593904,0,11,0,0
