,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y
0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,510.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1515.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
2,598.0,577.0,626.0,584.0,577.0,563.0,643.0,542.0,584.0,660.0,570.0,584.0,542.0,621.0,584.0,616.0,584.0,563.0,598.0,601.0,598.0,584.0,621.0,542.0,563.0,584.0,621.0,591.0,621.0,542.0,584.0,621.0,598.0,523,563.0,605.0,521.0,653.0,606.0,621.0,584.0,542.0,542.0,523.0,543.0,563.0,544.0,598.0,563.0,598.0,521.0,584.0,598.0,584.0,563.0,598.0,621.0,612.0,563.0,598.0,542.0,598.0,621.0,542.0,598.0,542.0,577.0,523.0,622.0,542.0,584.0,621.0,606.0,521.0,563.0,626.0,621.0,598.0,521.0,621.0,563.0,2358.0,584.0,521.0,626.0,605.0,563.0,542.0,598.0,544.0,584.0,584.0,563.0,563.0,612.0,563.0,563.0,542.0,591.0,584.0
3,913.0,860.0,955.0,888.0,860.0,857.0,998.0,878.0,955.0,1054.0,871.0,906.0,885.0,1113.0,1345.0,967.0,899.0,843.0,1739.0,723.0,1201.0,871.0,1113.0,899.0,1326.0,783.0,1054.0,916.0,1023.0,839.0,888.0,993.0,892.0,717,837.0,783.0,828.0,1054.0,1054.0,1013.0,976.0,839.0,1084.0,880.0,1117.0,748.0,720.0,1239.0,928.0,885.0,815.0,874.0,762.0,920.0,934.0,895.0,1120.0,881.0,913.0,878.0,1194.0,818.0,1054.0,1364.0,1375.0,787.0,811.0,699.0,1007.0,829.0,885.0,1013.0,959.0,969.0,920.0,955.0,1120.0,888.0,1108.0,1054.0,864.0,3033.0,769.0,859.0,895.0,832.0,1261.0,741.0,892.0,892.0,783.0,846.0,857.0,948.0,1173.0,699.0,853.0,762.0,881.0,920.0
4,1458.0,1339.0,1099.0,1032.0,1088.0,1290.0,1348.0,1148.0,1120.0,1457.0,1719.0,1513.0,1218.0,1969.0,1531.0,1236.0,1211.0,1113.0,1904.0,909.0,1491.0,1085.0,1612.0,1141.0,1568.0,1278.0,1972.0,1181.0,1463.0,1576.0,1039.0,1347.0,1197.0,952,1032.0,1185.0,1159.0,1939.0,1267.0,1340.0,1274.0,1868.0,1280.0,1037.0,1272.0,1004.0,1011.0,1459.0,1435.0,1106.0,1050.0,1183.0,997.0,1556.0,1246.0,1258.0,1672.0,1615.0,1176.0,1239.0,1853.0,1290.0,1978.0,2114.0,1617.0,1307.0,1085.0,1028.0,1249.0,1384.0,1399.0,1782.0,1506.0,1353.0,1218.0,1559.0,1444.0,1267.0,1370.0,2024.0,1155.0,3713.0,1036.0,1359.0,1444.0,1211.0,1538.0,864.0,1169.0,1223.0,1074.0,1067.0,1139.0,1540.0,1489.0,1050.0,1978.0,810.0,1531.0,1106.0
5,1647.0,1608.0,1438.0,1733.0,1476.0,1552.0,1611.0,1375.0,1529.0,1806.0,2023.0,2159.0,1557.0,2277.0,1919.0,1477.0,1487.0,1787.0,2556.0,1519.0,1824.0,1207.0,2030.0,1895.0,1900.0,1569.0,2305.0,1345.0,2121.0,1894.0,1737.0,1713.0,1438.0,1892,1186.0,1483.0,1785.0,2232.0,1495.0,1593.0,2156.0,2053.0,1922.0,1188.0,1570.0,2101.0,1487.0,1806.0,1610.0,1403.0,1431.0,1648.0,1201.0,2183.0,1585.0,1499.0,1898.0,1814.0,1557.0,1457.0,2484.0,1602.0,2231.0,2629.0,1928.0,1646.0,1228.0,1204.0,1658.0,1674.0,2002.0,1995.0,1713.0,1660.0,1382.0,1730.0,1737.0,2539.0,1697.0,2277.0,1473.0,4406.0,1270.0,1666.0,1944.0,1696.0,1912.0,1105.0,1508.0,1420.0,1434.0,1580.0,1791.0,1816.0,2633.0,1445.0,2268.0,,2207.0,2088.0
6,2032.0,1958.0,1945.0,2090.0,1704.0,1794.0,2603.0,2150.0,1673.0,2207.0,2429.0,2687.0,2121.0,2657.0,2227.0,1806.0,1907.0,1945.0,2754.0,1969.0,2033.0,1596.0,2625.0,2294.0,2493.0,1768.0,2513.0,1617.0,2514.0,2163.0,2077.0,2146.0,1708.0,2408,1765.0,1626.0,2070.0,2474.0,1844.0,1993.0,2419.0,3544.0,2388.0,1668.0,1837.0,2245.0,1643.0,2124.0,1845.0,1868.0,1624.0,2012.0,1471.0,2490.0,2080.0,2047.0,2332.0,2206.0,1935.0,2025.0,3145.0,1951.0,3094.0,3580.0,2427.0,2045.0,1501.0,1339.0,2015.0,2024.0,2331.0,2219.0,1992.0,2153.0,2004.0,1923.0,2260.0,2931.0,1897.0,2579.0,1823.0,5209.0,1800.0,2004.0,2213.0,1990.0,2397.0,1946.0,1858.0,1596.0,2047.0,1923.0,2134.0,2125.0,3011.0,2178.0,2412.0,,3193.0,2403.0
7,2360.0,2129.0,2221.0,2692.0,2022.0,2117.0,2824.0,2314.0,1945.0,2705.0,3216.0,3075.0,2320.0,3245.0,4031.0,2124.0,2483.0,2168.0,3756.0,2190.0,2897.0,1830.0,2878.0,2493.0,2799.0,2351.0,2850.0,2073.0,2802.0,2843.0,2419.0,2269.0,2134.0,2602,1993.0,1917.0,2625.0,2778.0,2056.0,2362.0,2831.0,3886.0,3016.0,2111.0,2031.0,2430.0,2172.0,2547.0,2469.0,2214.0,1900.0,2169.0,2106.0,3152.0,2363.0,2675.0,2594.0,3273.0,2204.0,2253.0,3983.0,2206.0,3640.0,3703.0,2846.0,2300.0,1943.0,1631.0,2798.0,2745.0,2639.0,2497.0,2299.0,2545.0,2238.0,2320.0,2481.0,3383.0,2235.0,2825.0,2015.0,5897.0,2603.0,2152.0,2454.0,2252.0,2610.0,2360.0,2630.0,1762.0,2410.0,2241.0,2698.0,2471.0,3783.0,2566.0,2838.0,,3435.0,2994.0
8,2663.0,2488.0,2538.0,2925.0,2179.0,2462.0,3454.0,2536.0,2332.0,3238.0,3394.0,3641.0,2777.0,3462.0,4523.0,2345.0,2724.0,2980.0,4483.0,2746.0,3176.0,2084.0,3293.0,2922.0,2956.0,2731.0,3302.0,2498.0,3272.0,3233.0,3137.0,2845.0,2535.0,3096,2210.0,2473.0,2963.0,3216.0,2318.0,2767.0,3468.0,4811.0,3330.0,2233.0,2225.0,3384.0,2307.0,3014.0,2802.0,3169.0,2196.0,3570.0,2876.0,3540.0,2709.0,2978.0,2946.0,3653.0,2696.0,2975.0,4520.0,2504.0,4019.0,4715.0,3407.0,2698.0,2274.0,1841.0,3519.0,3292.0,3699.0,2830.0,2521.0,3053.0,2852.0,2442.0,2711.0,4211.0,2638.0,3381.0,2846.0,6610.0,2855.0,2274.0,2681.0,2590.0,2997.0,2482.0,3010.0,1952.0,2734.0,2899.0,2987.0,2830.0,4094.0,2918.0,3535.0,,3710.0,3312.0
9,2891.0,2830.0,3074.0,3358.0,2619.0,2883.0,3661.0,2864.0,3310.0,3688.0,3666.0,3763.0,2977.0,3780.0,5233.0,2709.0,3152.0,3853.0,4866.0,3536.0,3896.0,2363.0,3600.0,3150.0,3233.0,2974.0,3794.0,2804.0,3580.0,3523.0,3281.0,3199.0,2849.0,3261,2381.0,3267.0,3365.0,3439.0,2946.0,3373.0,3724.0,5753.0,3640.0,2488.0,2380.0,3612.0,2534.0,3691.0,3133.0,3355.0,2596.0,3940.0,3232.0,3906.0,2952.0,3449.0,3501.0,3939.0,3794.0,3196.0,4740.0,3002.0,4734.0,5151.0,3914.0,3156.0,2432.0,2307.0,4060.0,4147.0,4047.0,3096.0,2829.0,3380.0,3702.0,3093.0,3160.0,4458.0,3145.0,4119.0,3216.0,7392.0,3155.0,2867.0,2896.0,2769.0,3367.0,2775.0,3388.0,2500.0,3118.0,4023.0,3711.0,3994.0,5097.0,3139.0,3808.0,,4372.0,3539.0
